ESNX,AJR,Arvidsjaur Airport,Medium airport,Arvidsjaur,Sweden,
URWA,ASF,Astrakhan Airport,Medium airport,Astrakhan,Russia,
LEAS,OVD,Asturias Airport,Medium airport,Ranón,Spain,
LFHO,OBS,Aubenas-Ardèche Méridional Airport,Medium airport,Aubenas/Ardèche Méridional,France,
LFDH,,Auch-Lamothe Airport,Medium airport,Auch/Lamothe,France,
EDMA,AGB,Augsburg Airport,Medium airport,Augsburg,Germany,
LFLW,AUR,Aurillac Airport,Medium airport,Aurillac,France,
LFLA,AUF,Auxerre-Branches Airport,Medium airport,Auxerre/Branches,France,
LIPA,AVB,Aviano Air Base,Medium airport,Aviano (PN),Italy,
LFMV,AVN,Avignon-Caumont Airport,Medium airport,Avignon/Caumont,France,
UMNB,,Babruisk Air Base,Medium airport,Babruisk,Belarus,
LRBC,BCM,Bacău Airport,Medium airport,Bacău,Romania,
LEBZ,BJZ,Badajoz Airport,Medium airport,Badajoz,Spain,
UWSB,BWO,Balakovo Airport,Medium airport,Balakovo,Russia,
LBWB,,Balchik Air Base,Medium airport,Balchik,Bulgaria,
LUBL,BZY,Bălți International Airport,Medium airport,Bălți,Moldova,
ENNA,LKL,Banak Airport,Medium airport,Lakselv,Norway,
LRBS,BBU,Băneasa International Airport,Medium airport,Bucharest,Romania,
LQBK,BNX,Banja Luka International Airport,Medium airport,Banja Luka,Bosnia and Herzegovina,
UMMA,,Baranavichi Air Base,Medium airport,Baranavichi,Belarus,
ENDU,BDU,Bardufoss Airport,Medium airport,Målselv,Norway,
EGPR,BRR,Barra Airport,Medium airport,Eoligarry,United Kingdom,
EGNL,BWF,Barrow Walney Island Airport,Medium airport,Barrow-in-Furness,United Kingdom,
EYSB,HLJ,Barysiai Airport,Medium airport,Barysiai,Lithuania,
LFKB,BIA,Bastia-Poretta Airport,Medium airport,Bastia/Poretta,France,
LYBT,BJY,Batajnica Air Base,Medium airport,Batajnica,Serbia,
ENBS,BJF,Båtsfjord Airport,Medium airport,Båtsfjord,Norway,
EDQD,BYU,Bayreuth Airport,Medium airport,Bayreuth,Germany,
EBBE,,Beauvechain Air Base,Medium airport,Beauvechain,Belgium,
UWKE,NBC,Begishevo Airport,Medium airport,Nizhnekamsk,Russia,
LPBJ,BYJ,Beja Airport / Airbase,Medium airport,Beja,Portugal,
UESG,BGN,Belaya Gora Airport,Medium airport,Belaya Gora,Russia,
UKFB,UKS,Belbek Airport,Medium airport,Sevastopol,Ukraine,
UUOB,EGO,Belgorod International Airport,Medium airport,Belgorod,Russia,
USHQ,EYK,Beloyarsk Airport,Medium airport,Khanty-Mansi Autonomous Okrug,Russia,
EGPL,BEB,Benbecula Airport,Medium airport,Balivanich,United Kingdom,
LFBE,EGC,Bergerac-Roumanière Airport,Medium airport,Bergerac/Roumanière,France,
ENBV,BVG,Berlevåg Airport,Medium airport,Berlevåg,Norway,
LSZB,BRN,Bern Airport,Medium airport,Bern,Switzerland,
URMO,OGZ,Beslan Airport,Medium airport,Beslan,Russia,
LFMU,BZR,Béziers-Vias Airport,Medium airport,Béziers/Vias,France,
LBIA,JAM,Bezmer Air Base,Medium airport,Yambol,Bulgaria,
UWWG,,Bezymyanka Airfield,Medium airport,Samara,Russia,
EPBP,BXP,Biała Podlaska Airfield,Medium airport,Biała Podlaska,Poland,
