ICAO,IATA,Name,Type,Municipality,Country,
VIBR,KUU,Kullu–Manali Airport,Medium airport,Bhuntar,India,
UTDK,TJU,Kulob Airport,Medium airport,Kulyab,Tajikistan,
RJFT,KMJ,Kumamoto Airport,Medium airport,Kumamoto,Japan,
ROKJ,UEO,Kumejima Airport,Medium airport,Shimajiri District,Japan,
UT77,,Kungrad Airport,Small airport,Kungrad,Uzbekistan,
ZPPP,KMG,Kunming Changshui International Airport,Large airport,Kunming,China,
RKJK,KUV,Kunsan Air Base,Large airport,Kunsan,South Korea,
ZWKC,KCA,Kuqa Airport,Small airport,Kuqa,China,
USUU,KRO,Kurgan Airport,Medium airport,Kurgan,Russia,
RJCK,KUH,Kushiro Airport,Medium airport,Kushiro,Japan,
OIIC,,Kushke Nosrat Airport,Small airport,,Iran,
LTBN,,Kütahya Airport,Small airport,Kütahya,Turkey,
OKBK,KWI,Kuwait International Airport,Large airport,Kuwait City,Kuwait,
VYXG,,Kyaukhtu South Airport,Small airport,Kyaukhtu South,Burma,
VYKP,KYP,Kyaukpyu Airport,Medium airport,Kyaukpyu,Burma,
VYKU,KYT,Kyauktu Airport,Small airport,Kyauktu,Burma,
UNKY,KYZ,Kyzyl Airport,Medium airport,Kyzyl,Russia,
UAFS,,Kyzyl-Kiya Airport,Small airport,Kyzyl-Kiya,Kyrgyzstan,
UENK,,Kyzyl-Syr Airport,Medium airport,Kyzyl-Syr,Russia,
UAOO,KZO,Kzyl-Orda Southwest Airport,Small airport,Kzyl-Orda,Kazakhstan,
WMAQ,,Labis Airport,Small airport,Labis,Malaysia,
RPMO,OZC,Labo Airport,Medium airport,Ozamiz City,Philippines,
WBKL,LBU,Labuan Airport,Medium airport,Labuan,Malaysia,
WIMA,,Labuhan Bilik Airport,Small airport,Labuhan Bilik-Sumatra Island,Indonesia,
RPMY,CGY,Laguindingan Airport,Large airport,Cagayan de Oro City,Philippines,
WBKD,LDU,Lahad Datu Airport,Medium airport,Lahad Datu,Malaysia,
VIBN,VNS,Lal Bahadur Shastri Airport,Medium airport,Varanasi,India,
VILP,,Lalitpur Airport,Small airport,Lalitpur,India,
VGLM,LLJ,Lalmonirhat Airport,Small airport,Lalmonirhat,Bangladesh,
OISR,LFM,Lamerd Airport,Small airport,Lamerd,Iran,
VNLD,LDN,Lamidanda Airport,Small airport,Lamidanda,Nepal,
VTCL,LPT,Lampang Airport,Medium airport,Lampang,Thailand,
VTCO,,Lamphun Airport,Small airport,,Thailand,
ZPJM,JMJ,Lancang Jingmai Airport,Medium airport,Lancang Lahu Autonomous County,China,
WMKL,LGK,Langkawi International Airport,Medium airport,Langkawi,Malaysia,
VNLT,LTG,Langtang Airport,Small airport,Langtang,Nepal,
