ICAO,IATA,Name,Type,Municipality,Country
SNJS,,Jardim do Seridó Airport,Small airport,Jardim Do Seridó,Brazil
SJUC,,Jardim Paraíso Airport,Small airport,Luís Eduardo Magalhães,Brazil
SMJA,,Jarikaba Airstrip,Small airport,Jarikaba,Suriname
SWJW,JTI,Jataí Airport,Small airport,Jataí,Brazil
SJCW,,Jatapu Airport,Small airport,Urucará,Brazil
SJLJ,,Jatapuzinho Airport,Small airport,Caroebe,Brazil
SLJA,,Jatata Airport,Small airport,Madre De Dios,Bolivia
SDGQ,,Jeová Gomes Airport,Small airport,Limoeiro do Norte,Brazil
SNJK,JEQ,Jequié Airport,Small airport,Jequié,Brazil
SNJQ,,Jequitinhonha Airport,Small airport,Jequitinhonha,Brazil
SBJI,JPR,Ji-Paraná Airport,Small airport,Ji-Paraná,Brazil
SEJI,JIP,Jipijapa Airport,Small airport,Jipijapa,Ecuador
SDJR,,JN Resort Airport,Small airport,Sete Lagoas,Brazil
SJJO,,João de Oliveira Bueno Airport,Small airport,Monte Alegre De Goiás,Brazil
SBFE,FEC,João Durval Carneiro Airport,Small airport,Feira De Santana,Brazil
SIVU,,João Moteiro Airport,Small airport,Vila Velha,Brazil
SSFL,,João Pereira dos Santos Filho Airport,Small airport,Fronteiras,Brazil
SNJP,,João Pinheiro Airport,Small airport,João Pinheiro,Brazil
SJBY,,João Silva Airport,Small airport,Santa Inês,Brazil
SVBP,,Jobito Airport,Small airport,,Venezuela
SJOD,,Jordão Airport,Small airport,Jordão,Brazil
SAWS,JSM,Jose De San Martin Airport,Small airport,Chubut,Argentina
SJWQ,,José Doná Airport,Small airport,Birigui,Brazil
SDYJ,,José Martins da Silva Airport,Small airport,Regente Feijó,Brazil
SIRF,,José Múcio Monteiro Airport,Small airport,Rio Formoso,Brazil
SUJP,,José Pedro Varela Airport,Small airport,José Pedro Varela,Uruguay
SLJS,,Josuani Airport,Small airport,Yacuma,Bolivia
SWBZ,,Jpo Airport,Small airport,Sorriso,Brazil
SUTD,,Juan B. Desalvo Airport,Small airport,Trinidad,Uruguay
SCAU,,Juan Enrique Airport,Small airport,Paine,Chile
SVJF,,Juan Florencio Airport,Small airport,,Venezuela
SKPA,,Juan Jose Rondon Airport,Small airport,Paipa,Colombia
SCJK,,Juan Kemp Airport,Small airport,Osorno,Chile
SUJL,,Juan Lacaze Airport,Small airport,Juan Lacaze,Uruguay
SVJH,,Juancho Airport,Small airport,Soledad,Venezuela
SDKF,,Juazeiro Airport,Small airport,Curaçá,Brazil
SWJN,JIA,Juína Airport,Small airport,Juína,Brazil
SA39,,Jujuy Aeroclub Airport,Small airport,San Salvador de Jujuy,Argentina
SSJK,0,Júlio de Castilho Airport,Small airport,Júlio De Castilho,Brazil
SAAJ,JNI,Junin Airport,Small airport,Junin,Argentina
SDWK,,Junqueira Airport,Small airport,Igarapava,Brazil
SKJU,JUO,Jurado Airport,Small airport,Jurado,Colombia
SWJU,JRN,Juruena Airport,Small airport,Juruena,Brazil
SJOH,,Juruti Airport,Small airport,Juruti,Brazil
SNTO,TFL,Juscelino Kubitscheck Airport,Small airport,Teófilo Otoni,Brazil
SMKA,,Kabalebo Airport,Small airport,Kabalebo,Suriname
SYKM,KAR,Kamarang Airport,Small airport,Kamarang,Guyana
SVKM,KTV,Kamarata Airport,Small airport,Kamarata,Venezuela
SYKR,KRM,Karanambo Airport,Small airport,Karanambo,Guyana
SYKS,KRG,Karasabai Airport,Small airport,Karasabai,Guyana
SYKT,KTO,Kato Airport,Small airport,Kato,Guyana
SVKA,KAV,Kavanayen Airport,Small airport,,Venezuela
SMKE,,Kayser Airport,Small airport,Kayserberg,Suriname
SPQI,,Kiteni Airport,Small airport,La Convención,Perú
SNKQ,,Klaus Mangold Airport,Small airport,Ipixuna Do Pará,Brazil
SEKK,,Km 192 Airport,Small airport,Lagartera,Ecuador
SE11,,Km 60 Airport,Small airport,Consumulo,Ecuador
SYKZ,KKG,Konawaruk Airport,Small airport,Konawaruk,Guyana
SYKK,,Kurukabaru Airport,Small airport,Kurukabaru,Guyana
SSMN,,Kururuzinho Airport,Small airport,Jacareacanga,Brazil
SYKW,,Kwakwani Airport,Small airport,Kwakwani,Guyana
SMSM,,Kwamalasoemoetoe Airport,Small airport,Kwamalasoemoetoe Airport,Suriname
SCLG,,La Aguada Airport,Small airport,Pencahue,Chile
SVLI,,La Alcancía Airport,Small airport,,Venezuela
SVLT,,La Argentina Airport,Small airport,,Venezuela
SVWB,,La Bananera Airport,Small airport,,Venezuela
SVBG,,La Batalla Airport,Small airport,La Cruz,Venezuela
SVLB,,La Blanquilla Airport,Small airport,La Blanquilla - Isla Margarita,Venezuela
SVBX,,La Cabaña Airport,Small airport,,Venezuela
SUCL,,La Calera Airport,Small airport,Minas,Uruguay
SVKB,,La Calzada Airport,Small airport,,Venezuela
