ICAO,IATA,Name,Type,Municipality,Country,
FWCM,CMK,Club Makokola Airport,Small airport,Club Makokola,Malawi,
FOOC,,Cocobeach Airport,Small airport,Cocobeach,Gabon,
FSSC,,Coetivy Airport,Small airport,Coetivy Island,Seychelles,
FACB,,Colesberg Airport,Small airport,Colesberg,South Africa,
HADC,DSE,Combolcha Airport,Small airport,Dessie,Ethiopia,
GUCY,CKY,Conakry International Airport,Medium airport,Conakry,Guinea,
HKCG,,Congrieve Airfield,Small airport,Congrieve,Kenya,
FACH,,Cookhouse Airport,Small airport,Cookhouse,South Africa,
HKCC,,Cottars Mara Airport,Small airport,,Kenya,
FACD,CDO,Cradock Airport,Small airport,Cradock,South Africa,
FQCB,FXO,Cuamba Airport,Small airport,Cuamba,Mozambique,
GGCF,,Cufar Airport,Small airport,Cufar,Guinea-Bissau,
FNCV,CTI,Cuito Cuanavale Airport,Small airport,Cuito Cuanavale,Angola,
DIDB,,Dabou Airport,Small airport,Dabou,Côte d'Ivoire,
HKDA,,Dadaab Airstrip,Small airport,Dadaab,Kenya,
GQNM,,Dahara Airport,Small airport,Timbreda,Mauritania,
HLRA,,Dahra Airport,Small airport,,Libya,
GMMH,VIL,Dakhla Airport,Medium airport,Dakhla,Western Sahara,
HEDK,DAK,Dakhla Airport,Small airport,,Egypt,
DIDL,DJO,Daloa Airport,Medium airport,Daloa,Côte d'Ivoire,
FEFD,,Damara Airport,Small airport,Damara,Central African Republic,
HSDZ,RSS,Damazin Airport,Small airport,Ad Damazin,Sudan,
FNDB,,Damba Airport,Small airport,Damba,Angola,
DFOA,,Dano Airport,Small airport,Dano,Burkina Faso,
FADP,,Darlington Dam Lodge Airport,Small airport,Port Elizabeth,South Africa,
FSDA,,Darros Airport,Small airport,Darros Island,Seychelles,
FVDA,,Dawsons Airport,Small airport,Mvurwi,Zimbabwe,
FADA,,De Aar Airport,Small airport,De Aar,South Africa,
FADY,,De Aar Military Airport,Small airport,De Aar,South Africa,
FADS,,De Doorns Airport,Small airport,De Doorns,South Africa,
HADM,DBM,Debra Marcos Airport,Small airport,Debra Marcos,Ethiopia,
HADT,DBT,Debre Tabor Airport,Small airport,Debre Tabor,Ethiopia,
FBDV,,Deception Valley Airport,Small airport,Deception Valley Lodge,Botswana,
DFOD,DGU,Dedougou Airport,Small airport,Dedougou,Burkina Faso,
FVDE,,Deka Airport,Small airport,Deka,Zimbabwe,
FZVT,,Dekese Airport,Small airport,Dekese,Congo (Kinshasa),
FEGD,,Dekoa Airport,Small airport,Dekoa,Central African Republic,
FADL,,Delareyville Airport,Small airport,Delareyville,South Africa,
FADE,,Delmas Airport,Small airport,Delmas,South Africa,
FADX,,Delta 200 Airstrip,Small airport,Koeberg,South Africa,
FBDT,,Delta Camp Airport,Small airport,Delta Camp,Botswana,
HADD,DEM,Dembidollo Airport,Small airport,Dembidollo,Ethiopia,
FADO,,Dendron Airport,Small airport,Dendron,South Africa,
FSSD,DEI,Denis Island Airport,Small airport,Denis Island,Seychelles,
FSDR,DES,Desroches Airport,Small airport,Desroches Island,Seychelles,
FADV,,Devon Airport,Small airport,Devon,South Africa,
DFED,DIP,Diapaga Airport,Small airport,Diapaga,Burkina Faso,
FZUP,,Diboko Airport,Small airport,Diboko,Congo (Kinshasa),
DFCD,,Didyr Airport,Small airport,Didyr,Burkina Faso,
DFOU,XDE,Diebougou Airport,Small airport,Diebougou,Burkina Faso,
DRZF,,Diffa Airport,Small airport,Diffa,Niger,
GASO,,Dignangan Airport,Small airport,,Mali,
HDDK,,Dikhil Airport,Small airport,Dikhil,Djibouti,
FZVP,,Dikungu Airport,Small airport,Dikungu,Congo (Kinshasa),
HSDL,,Dilling Airport,Small airport,Dilling,Sudan,
FZSI,,Dilolo Airport,Small airport,Dilolo,Congo (Kinshasa),
DIDK,DIM,Dimbokro Airport,Small airport,Dimbokro,Côte d'Ivoire,
FZVD,,Dingele Airport,Small airport,Dingele,Congo (Kinshasa),
GADA,,Dioila Airport,Small airport,Dioila,Mali,
DRRN,NIM,Diori Hamani International Airport,Large airport,Niamey,Niger,
DRZD,,Dirkou Airport,Small airport,,Niger,
FCBD,DJM,Djambala Airport,Small airport,Djambala,Congo (Brazzaville),
DAAJ,DJG,Djanet Inedbirene Airport,Medium airport,Djanet,Algeria,
DXDP,,Djangou Airport,Small airport,Dapaong,Togo,
DTTJ,DJE,Djerba Zarzis International Airport,Medium airport,Djerba,Tunisia,
DFCJ,XDJ,Djibo Airport,Small airport,Djibo,Burkina Faso,
HDAM,JIB,Djibouti-Ambouli Airport,Medium airport,Djibouti City,Djibouti,
FZBL,,Djokele Airport,Small airport,Djokele,Congo (Kinshasa),
DBBD,DJA,Djougou Airport,Small airport,Djougou,Benin,
GO66,,Dodji Airport,Small airport,Dodji,Senegal,
HADO,,Dodola Airport,Small airport,Dodola,Ethiopia,
HTDO,DOD,Dodoma Airport,Medium airport,Dodoma,Tanzania,
DRRC,,Dogondoutchi Airport,Small airport,Dogondoutchi,Niger,
FZJB,,Doko Airport,Small airport,Doko,Congo (Kinshasa),
HSDN,DOG,Dongola Airport,Medium airport,Dongola,Sudan,
FADG,,Dordrecht Airport,Small airport,Dordrecht,South Africa,
DFEE,DOR,Dori Airport,Small airport,Dori,Burkina Faso,
FZJD,,Doruma Airport,Small airport,Doruma,Congo (Kinshasa),
DRRD,,Dosso Airport,Small airport,Dosso,Niger,
FKKD,DLA,Douala International Airport,Medium airport,Douala,Cameroon,
GADZ,,Douentza Airport,Small airport,Douentza,Mali,
FADZ,,Drakensberg Gardens Airport,Small airport,Drakensberg Gardens,South Africa,
FKKS,DSC,Dschang Airport,Small airport,Dschang,Cameroon,
FVDU,,Dudley Airport,Small airport,Dudley,Zimbabwe,
FADD,,Dundee Airport,Small airport,Dundee,South Africa,
FNDU,DUE,Dundo Airport,Medium airport,Chitato,Angola,
FZJC,,Dungu-Uye Airport,Small airport,Dungu,Congo (Kinshasa),
FADH,,Durnacol Airport,Small airport,Durnacol,South Africa,
DNDS,,Dutse International Airport,Small airport,Dutse,Nigeria,
FADB,,Dwaalboom Airport,Small airport,Dwaalboom,South Africa,
FWDW,DWA,Dwangwa Airport,Medium airport,Dwangwa,Malawi,
FMCZ,DZA,Dzaoudzi Pamandzi International Airport,Medium airport,Dzaoudzi,Mayotte,
FLEH,,East Eight Airport,Small airport,Kapu,Zambia,
FLEE,,East Five Airport,Small airport,Chidulka,Zambia,
FLED,,East Four Airport,Small airport,Mululowera,Zambia,
FLEA,,East One Airport,Small airport,Bwambwa,Zambia,
FLEG,,East Seven Airport,Small airport,Kanshela,Zambia,
FLEF,,East Six Airport,Small airport,Chiwanangala,Zambia,
FLEC,,East Three Airport,Small airport,Luano,Zambia,
FLEB,,East Two Airport,Small airport,Mofu,Zambia,
FKKW,EBW,Ebolowa Airport,Small airport,Ebolowa,Cameroon,
DAOI,CFK,Chlef International Airport,Medium airport,Chlef,Algeria,
FAED,,Edenburg Airport,Small airport,Edenburg,South Africa,
FVED,,Eduan Airport,Small airport,Eduan,Zimbabwe,
